Image Name, Predicted Digit, Confidence
WaterMeter_2041.jpg, 0, 99.53%
WaterMeter_2042.jpg, 0, 99.57%
WaterMeter_2043.jpg, 0, 99.62%
WaterMeter_2044.jpg, 0, 99.57%
WaterMeter_2045.jpg, 0, 99.87%
WaterMeter_2046.jpg, 0, 99.52%
WaterMeter_2047.jpg, 0, 99.64%
WaterMeter_2048.jpg, 0, 99.06%
WaterMeter_2049.jpg, 0, 99.73%
WaterMeter_2050.jpg, 0, 99.05%
WaterMeter_2051.jpg, 0, 99.24%
WaterMeter_2052.jpg, 0, 99.74%
WaterMeter_2053.jpg, 0, 99.75%
WaterMeter_2054.jpg, 0, 99.76%
WaterMeter_2055.jpg, 0, 99.35%
WaterMeter_2056.jpg, 0, 98.98%
WaterMeter_2057.jpg, 0, 99.66%
WaterMeter_2058.jpg, 0, 99.70%
WaterMeter_2059.jpg, 0, 99.77%
WaterMeter_2060.jpg, 0, 99.69%
WaterMeter_2061.jpg, 0, 99.23%
WaterMeter_2062.jpg, 0, 99.37%
WaterMeter_2063.jpg, 0, 99.32%
WaterMeter_2064.jpg, 0, 99.57%
WaterMeter_2065.jpg, 0, 99.00%
WaterMeter_2066.jpg, 0, 99.05%
WaterMeter_2067.jpg, 0, 99.35%
WaterMeter_2068.jpg, 0, 98.68%
WaterMeter_2069.jpg, 0, 99.74%
WaterMeter_2070.jpg, 0, 99.87%
WaterMeter_2071.jpg, 0, 99.56%
WaterMeter_2072.jpg, 0, 99.50%
WaterMeter_2073.jpg, 0, 99.36%
WaterMeter_2074.jpg, 0, 99.76%
WaterMeter_2075.jpg, 0, 99.83%
WaterMeter_2076.jpg, 0, 99.12%
WaterMeter_2077.jpg, 0, 99.35%
WaterMeter_2078.jpg, 0, 99.66%
WaterMeter_2079.jpg, 0, 99.75%
WaterMeter_2080.jpg, 0, 99.58%
WaterMeter_2081.jpg, 0, 99.08%
WaterMeter_2082.jpg, 0, 99.72%
WaterMeter_2083.jpg, 0, 99.48%
WaterMeter_2084.jpg, 0, 99.39%
WaterMeter_2085.jpg, 0, 99.56%
WaterMeter_2086.jpg, 0, 99.68%
WaterMeter_2087.jpg, 0, 99.55%
WaterMeter_2088.jpg, 0, 99.80%
WaterMeter_2089.jpg, 0, 99.56%
WaterMeter_2090.jpg, 0, 99.66%
WaterMeter_2091.jpg, 0, 99.58%
WaterMeter_2092.jpg, 0, 99.58%
WaterMeter_2093.jpg, 0, 99.43%
WaterMeter_2094.jpg, 0, 99.77%
WaterMeter_2095.jpg, 0, 99.46%
